MapChunk(cid=0, pos=GameChunkPos(super=GameBlockPos(x=0, y=0, z=0), ep=GameBlockPos(x=4, y=4, z=4)))
MapChunk(cid=1, pos=GameChunkPos(super=GameBlockPos(x=0, y=0, z=0), ep=GameBlockPos(x=2, y=2, z=2)))
MapBlock(pos=GameBlockPos(x=0, y=0, z=0), parent=1, p=100, getMaterialRid=923, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=1, y=0, z=0), parent=1, p=100, getMaterialRid=923, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=0, y=1, z=0), parent=1, p=100, getMaterialRid=923, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=1, y=1, z=0), parent=1, p=10010, getMaterialRid=850, getObjectRid=836)
MapBlock(pos=GameBlockPos(x=0, y=0, z=1), parent=1, p=100, getMaterialRid=923, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=1, y=0, z=1), parent=1, p=100, getMaterialRid=923, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=0, y=1, z=1), parent=1, p=100, getMaterialRid=923, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=1, y=1, z=1), parent=1, p=10010, getMaterialRid=848, getObjectRid=821)
MapChunk(cid=2, pos=GameChunkPos(super=GameBlockPos(x=0, y=0, z=2), ep=GameBlockPos(x=2, y=2, z=4)))
MapBlock(pos=GameBlockPos(x=0, y=0, z=2), parent=2, p=10010, getMaterialRid=913, getObjectRid=835)
MapBlock(pos=GameBlockPos(x=1, y=0, z=2), parent=2, p=10010, getMaterialRid=779, getObjectRid=839)
MapBlock(pos=GameBlockPos(x=0, y=1, z=2), parent=2, p=10010, getMaterialRid=913, getObjectRid=839)
MapBlock(pos=GameBlockPos(x=1, y=1, z=2), parent=2, p=1000, getMaterialRid=930, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=0, y=0, z=3), parent=2, p=10010, getMaterialRid=858, getObjectRid=835)
MapBlock(pos=GameBlockPos(x=1, y=0, z=3), parent=2, p=10010, getMaterialRid=858, getObjectRid=839)
MapBlock(pos=GameBlockPos(x=0, y=1, z=3), parent=2, p=10010, getMaterialRid=858, getObjectRid=839)
MapBlock(pos=GameBlockPos(x=1, y=1, z=3), parent=2, p=1000, getMaterialRid=931, getObjectRid=819)
MapChunk(cid=3, pos=GameChunkPos(super=GameBlockPos(x=0, y=2, z=0), ep=GameBlockPos(x=2, y=4, z=2)))
MapBlock(pos=GameBlockPos(x=0, y=2, z=0), parent=3, p=100, getMaterialRid=923, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=1, y=2, z=0), parent=3, p=100, getMaterialRid=923, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=0, y=3, z=0), parent=3, p=100, getMaterialRid=923, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=1, y=3, z=0), parent=3, p=100, getMaterialRid=923, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=0, y=2, z=1), parent=3, p=100, getMaterialRid=923, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=1, y=2, z=1), parent=3, p=10010, getMaterialRid=848, getObjectRid=840)
MapBlock(pos=GameBlockPos(x=0, y=3, z=1), parent=3, p=100, getMaterialRid=923, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=1, y=3, z=1), parent=3, p=100, getMaterialRid=923, getObjectRid=819)
MapChunk(cid=4, pos=GameChunkPos(super=GameBlockPos(x=0, y=2, z=2), ep=GameBlockPos(x=2, y=4, z=4)))
MapBlock(pos=GameBlockPos(x=0, y=2, z=2), parent=4, p=10010, getMaterialRid=913, getObjectRid=835)
MapBlock(pos=GameBlockPos(x=1, y=2, z=2), parent=4, p=10010, getMaterialRid=913, getObjectRid=839)
MapBlock(pos=GameBlockPos(x=0, y=3, z=2), parent=4, p=10010, getMaterialRid=913, getObjectRid=835)
MapBlock(pos=GameBlockPos(x=1, y=3, z=2), parent=4, p=10010, getMaterialRid=913, getObjectRid=834)
MapBlock(pos=GameBlockPos(x=0, y=2, z=3), parent=4, p=10010, getMaterialRid=858, getObjectRid=839)
MapBlock(pos=GameBlockPos(x=1, y=2, z=3), parent=4, p=1000, getMaterialRid=931, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=0, y=3, z=3), parent=4, p=10010, getMaterialRid=858, getObjectRid=835)
MapBlock(pos=GameBlockPos(x=1, y=3, z=3), parent=4, p=10010, getMaterialRid=858, getObjectRid=839)
MapChunk(cid=5, pos=GameChunkPos(super=GameBlockPos(x=2, y=0, z=0), ep=GameBlockPos(x=4, y=2, z=2)))
MapBlock(pos=GameBlockPos(x=2, y=0, z=0), parent=5, p=100, getMaterialRid=923, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=3, y=0, z=0), parent=5, p=100, getMaterialRid=923, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=2, y=1, z=0), parent=5, p=100, getMaterialRid=923, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=3, y=1, z=0), parent=5, p=100, getMaterialRid=923, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=2, y=0, z=1), parent=5, p=100, getMaterialRid=923, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=3, y=0, z=1), parent=5, p=100, getMaterialRid=923, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=2, y=1, z=1), parent=5, p=10010, getMaterialRid=848, getObjectRid=838)
MapBlock(pos=GameBlockPos(x=3, y=1, z=1), parent=5, p=100, getMaterialRid=923, getObjectRid=819)
MapChunk(cid=6, pos=GameChunkPos(super=GameBlockPos(x=2, y=0, z=2), ep=GameBlockPos(x=4, y=2, z=4)))
MapBlock(pos=GameBlockPos(x=2, y=0, z=2), parent=6, p=10010, getMaterialRid=779, getObjectRid=832)
MapBlock(pos=GameBlockPos(x=3, y=0, z=2), parent=6, p=10010, getMaterialRid=779, getObjectRid=832)
MapBlock(pos=GameBlockPos(x=2, y=1, z=2), parent=6, p=10010, getMaterialRid=779, getObjectRid=839)
MapBlock(pos=GameBlockPos(x=3, y=1, z=2), parent=6, p=10010, getMaterialRid=779, getObjectRid=833)
MapBlock(pos=GameBlockPos(x=2, y=0, z=3), parent=6, p=10010, getMaterialRid=858, getObjectRid=839)
MapBlock(pos=GameBlockPos(x=3, y=0, z=3), parent=6, p=10010, getMaterialRid=858, getObjectRid=832)
MapBlock(pos=GameBlockPos(x=2, y=1, z=3), parent=6, p=1000, getMaterialRid=931, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=3, y=1, z=3), parent=6, p=10010, getMaterialRid=858, getObjectRid=839)
MapChunk(cid=7, pos=GameChunkPos(super=GameBlockPos(x=2, y=2, z=0), ep=GameBlockPos(x=4, y=4, z=2)))
MapBlock(pos=GameBlockPos(x=2, y=2, z=0), parent=7, p=100, getMaterialRid=923, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=3, y=2, z=0), parent=7, p=100, getMaterialRid=923, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=2, y=3, z=0), parent=7, p=100, getMaterialRid=923, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=3, y=3, z=0), parent=7, p=100, getMaterialRid=923, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=2, y=2, z=1), parent=7, p=100, getMaterialRid=923, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=3, y=2, z=1), parent=7, p=100, getMaterialRid=923, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=2, y=3, z=1), parent=7, p=100, getMaterialRid=923, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=3, y=3, z=1), parent=7, p=100, getMaterialRid=923, getObjectRid=819)
MapChunk(cid=8, pos=GameChunkPos(super=GameBlockPos(x=2, y=2, z=2), ep=GameBlockPos(x=4, y=4, z=4)))
MapBlock(pos=GameBlockPos(x=2, y=2, z=2), parent=8, p=1000, getMaterialRid=930, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=3, y=2, z=2), parent=8, p=10010, getMaterialRid=779, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=2, y=3, z=2), parent=8, p=10010, getMaterialRid=913, getObjectRid=839)
MapBlock(pos=GameBlockPos(x=3, y=3, z=2), parent=8, p=10010, getMaterialRid=779, getObjectRid=834)
MapBlock(pos=GameBlockPos(x=2, y=2, z=3), parent=8, p=1000, getMaterialRid=931, getObjectRid=819)
MapBlock(pos=GameBlockPos(x=3, y=2, z=3), parent=8, p=10010, getMaterialRid=858, getObjectRid=839)
MapBlock(pos=GameBlockPos(x=2, y=3, z=3), parent=8, p=10010, getMaterialRid=858, getObjectRid=839)
MapBlock(pos=GameBlockPos(x=3, y=3, z=3), parent=8, p=10010, getMaterialRid=858, getObjectRid=834)
